 Cement(kg/m³), Water(kg/m3),Coarse aggregate(kg/m3),Fine aggregate(kg/m3), FA (kg/m3),SF (kg/m3),GGBFS (kg/m3),SP (kg/m3),Chloride_permeability_class
436.5,200,778,880,0,18,0,6.7,high
418.5,200,774,875,0,36,0,7.5,very low
400,200,771,870,0,54.5,0,8,very low
337,200,774,874,0,36,81.5,6.7,very low
373,200,778,878,81.5,0,0,5.82,moderate
291,200,773,872,163.5,0,0,6.35,moderate
209.5,200,772,871,163.5,0,81.5,5.5,low
373,200,772,872,81.5,0,0,4.67,high
291,200,762,859,163.5,0,0,4.36,high
209.5,200,761,858,163.5,0,81.5,4.31,high
373,200,781,881,0,0,81.5,5.35,moderate
255.5,200,769,868,81.5,36,81.5,7,very low
674.4,187.4,1058.8,453.3,75,0,0,3.4,very low
594.4,185.8,1049.4,449.3,148.6,0,0,3,very low
515.7,184.2,1040.5,445.5,221,0,0,2.3,very low
438.2,182.6,1031.4,441.6,292.1,0,0,2,very low
362,181,1022.4,437.7,362,0,0,1.8,very low
300,180,595,958,300,0,0,1.5,moderate
240,180,595,933,360,0,0,1.02,low
180,180,595,908,420,0,0,0.72,low
570,180,595,1072,0,30,0,7.98,very low
540,180,595,1059,0,60,0,8.58,very low
300,180,595,958,270,30,0,2.22,very low
240,180,595,933,330,30,0,1.8,very low
180,180,595,908,390,30,0,1.2,very low
300,180,595,958,240,60,0,3.6,very low
240,180,595,933,300,60,0,2.88,very low
180,180,595,908,360,60,0,2.28,very low
257,180,621,1023,257,0,0,1.3364,moderate
206,180,621,1001,309,0,0,0.9766,moderate
154,180,621,980,360,0,0,0.6682,moderate
489,180,621,1120,0,26,0,8.224,low
463,180,621,1110,0,51,0,8.995,very low
257,180,621,1023,231,26,0,2.056,low
206,180,621,1001,283,26,0,1.6448,low
154,180,621,980,334,26,0,1.1308,moderate
257,180,621,1023,206,51,0,3.1868,very low
206,180,621,1001,257,51,0,2.57,very low
154,180,621,980,309,51,0,2.056,low
225,180,640,1072,225,0,0,1.17,moderate
180,180,640,1053,270,0,0,0.945,moderate
135,180,640,1034,315,0,0,0.585,moderate
428,180,640,1157,0,23,0,8.55,low
405,180,640,1147,0,45,0,9.45,very low
225,180,640,1072,203,23,0,1.935,very low
180,180,640,1053,248,23,0,1.53,low
135,180,640,1034,293,23,0,1.26,moderate
225,180,640,1072,180,45,0,2.88,low
180,180,640,1053,225,45,0,2.34,low
135,180,640,1034,270,45,0,2.07,low
175,210,952,883,0,0,175,0,very low
176,211,940,872,176,0,0,0,very low
176,211,951,881,88,0,88,0,very low
222,168,945,876,0,0,222,4.5,very low
221,167,921,855,221,0,0,3.4,very low
222,168,933,865,111,0,111,4.7,very low
437,204,785,908,51,26,0,10.28,very low
424,204,785,908,51,39,0,10.28,very low
411,204,785,908,51,51,0,10.26,very low
411,204,785,908,77,26,0,10.28,very low
398,204,785,908,77,39,0,10.28,very low
386,204,785,908,77,51,0,10.28,very low
386,204,785,908,103,26,0,10.3,very low
373,204,785,908,103,39,0,10.3,very low
360,204,785,908,103,51,0,10.28,very low
360,204,785,908,129,26,0,10.3,very low
347,204,785,908,129,39,0,10.3,very low
334,204,785,908,129,51,0,10.28,very low
334,204,785,908,154,26,0,10.28,very low
321,204,785,908,154,39,0,10.28,very low
308,204,785,908,154,51,0,10.26,very low
250,125,1083.4,722.3,250,0,0,11,low
250,125,1093,728.7,125,0,125,11,low
250,125,1088.2,725.4,100,50,100,11,low
125,125,1060.8,707.2,375,0,0,11,low
125,125,1075.2,716.8,187.5,0,187.5,11,low
125,125,1068,712,150,75,150,11,low
262.5,175,1025,832,0,0,87.5,3.5,low
175,175,1021,830,0,0,175,3.5,very low
200,90,1014,740,200,0,0,0.5,low
200,90,1014,739,192,8,0,0.6,very low
200,90,1014,774,0,0,200,1.4,low
200,90,1014,771,0,8,192,1.7,very low
409.5,155.61,874,874,0,10.5,0,2.016,moderate
399,151.62,872,872,0,21,0,2.016,moderate
388.5,147.63,870,870,0,31.5,0,2.016,low
378,143.64,869,869,0,42,0,2.016,low
357,135.66,873,873,0,0,63,2.016,high
294,111.72,870,870,0,0,126,2.016,high
210,79.8,866,866,0,0,210,2.016,high
346.5,131.67,872,872,0,10.5,63,2.016,high
336,127.68,870,870,0,21,63,2.016,high
325.5,123.69,868,868,0,31.5,63,2.016,moderate
283.5,107.73,869,869,0,10.5,126,2.016,moderate
273,103.74,867,867,0,21,126,2.016,moderate
262.5,99.75,865,865,0,31.5,126,2.016,moderate
199.5,75.81,865,865,0,10.5,210,2.016,moderate
189,71.82,863,863,0,21,210,2.016,moderate
178.5,67.83,861,861,0,31.5,210,2.016,low
160,130,1115,770,127,0,0,2.296,high
144,129,1115,770,127,0,16,2.296,high
127,127,1115,770,127,0,32,2.288,high
111,128,1115,770,127,0,47,2.28,high
94,128,1115,770,127,0,63,2.272,moderate
78,128,1115,770,127,0,78,2.264,moderate
158,105,1115,770,127,0,68,2.824,moderate
140,114,1115,770,127,0,60,2.616,moderate
124,122,1115,770,127,0,53,2.432,moderate
111,128,1115,770,127,0,47,2.28,high
99,133,1115,770,127,0,42,2.144,high
273.125,190,754,939,47.5,11.875,142.5,1.1875,very low
249.375,190,750.2,934.1,71.25,11.875,142.5,1.1875,very low
225.625,190,752.5,937.1,47.5,11.875,190,1.1875,very low
154.375,190,746.8,930,71.25,11.875,237.5,1.425,very low
142.5,190,746.1,929.1,71.25,23.75,237.5,1.6625,very low
130.625,190,742.9,925.1,95,11.875,237.5,1.425,very low
118.75,180.5,742.2,924.2,71.25,23.75,237.5,1.579375,very low
106.875,190,741.7,923.7,95,35.625,237.5,1.6625,very low
273.125,190,697.1,921.6,47.5,11.875,142.5,1.1875,very low
249.375,190,685.2,905.9,71.25,11.875,142.5,1.1875,very low
225.625,190,695.7,919.7,47.5,11.875,190,1.1875,very low
154.375,190,690.4,912.7,71.25,11.875,237.5,1.425,very low
142.5,190,689.8,911.9,71.25,23.75,237.5,1.6625,very low
130.625,190,686.8,908,95,11.875,237.5,1.425,very low
118.75,180.5,686.4,907.4,71.25,23.75,237.5,1.579375,very low
106.875,190,685.8,906.6,95,35.625,237.5,1.6625,very low
384.85,151.35,1144.6,706.5,0,47.57,0,5.19,very low
371.88,151.35,1152.31,711.22,0,0,60.54,4.76,very low
666,152,1103,523,0,0,74,8.88,very low
592,152,1100,522,0,0,148,8.88,very low
518,152,1097,520,0,0,222,8.88,very low
444,152,1094,519,0,0,296,8.88,very low
370,152,1091,518,0,0,370,8.88,very low
696,152,1099,522,0,44.4,0,8.88,very low
681,152,1092,518,0,59,0,8.88,very low
666,152,1085,515,0,74,0,8.88,very low
651,151,1081,513,0,89,0,8.88,very low
629,151,1075,510,0,111,0,8.88,very low
607,151,1069,507,0,133,0,8.88,very low
577,151,1078,511,0,89,74,8.88,very low
503,151,1075,510,0,89,148,8.88,very low
429,151,1072,509,0,89,222,8.88,very low
355,151,1069,507,0,89,296,8.88,very low
281,151,1066,506,0,89,370,8.88,very low
504.8,185.5,797.5,886.6,0,10.302,0,11.332244,low
494.5,185.5,796,884.9,0,20.604,0,11.332288,low
484.2,185.5,794.5,883.2,0,30.906,0,11.332332,low
473.9,185.5,793,881.6,0,41.208,0,11.332376,low
463.6,185.5,791.5,879.9,0,51.51,0,11.33242,very low
499.7,185.5,776.1,862.8,15.453,0,0,11.333366,low
484.2,185.5,753.2,837.4,30.906,0,0,11.332332,low
430.1,185.5,746.8,830.2,84.9915,0,0,11.332013,low
401.8,185.5,729.4,810.9,113.322,0,0,11.332684,low
373.5,185.5,712,791.6,141.6525,0,0,11.333355,low
345.1,185.5,694.6,772.2,169.983,0,0,11.331826,low
316.8,185.5,677.2,752.9,198.3135,0,0,11.332497,low
288.5,185.5,659.8,733.5,226.644,0,0,11.333168,low
231.8,185.5,625,694.9,283.305,0,0,11.33231,low
360,180,868,941,40,0,0,0,moderate
320,180,865,937,80,0,0,0,moderate
280,180,852,933,120,0,0,0,high
380,180,869,941,0,20,0,0,low
360,180,865,937,0,40,0,0,low
340,180,863,935,40,20,0,0,moderate
280,180,861,932,80,20,0,0,moderate
260,180,858,930,120,20,0,0,moderate
350,190,876,830,150,0,0,9.1,low
300,200,860,845,200,0,0,9,low
250,210,856,856,250,0,0,8.6,low
409.5,159.6,869,869,0,10.5,0,2.016,moderate
399,159.6,868,868,0,21,0,2.142,moderate
388.5,159.6,865,865,0,31.5,0,2.268,low
378,159.6,869,869,0,42,0,2.352,low
357,159.6,865,865,63,0,0,1.638,high
294,159.6,855,855,126,0,0,1.26,high
346.5,159.6,864,864,63,10.5,0,1.68,moderate
336,159.6,861,861,63,21,0,1.764,moderate
325.5,159.6,860,860,63,31.5,0,1.89,low
283.5,159.6,853,853,126,10.5,0,1.344,moderate
273,159.6,851,851,126,21,0,1.386,moderate
262.5,159.6,849,849,126,31.5,0,1.428,moderate
675,225,570,688,75,0,0,8.25,moderate
600,225,570,688,150,0,0,8.25,low
712.5,225,570,688,0,37.5,0,11.25,low
675,225,570,688,0,75,0,11.25,very low
600,225,570,688,112.5,37.5,0,9.75,very low
525,225,570,688,187.5,37.5,0,9.75,very low
406,189,784.4,987.1,0,22,22,1.57,very low
406,189,655.7,987.1,0,22,22,1.57,very low
360,189,780.2,982.4,0,45,45,1.8,very low
360,189,652.7,982.4,0,45,45,1.8,very low
315,189,779.2,981.2,0,45,90,1.8,very low
315,189,651.7,981.2,0,45,90,1.8,very low
270,189,778,979.4,0,45,135,1.8,negligible
270,189,650.7,979.4,0,45,135,1.8,very low
225,189,776.8,977.9,0,45,180,2.02,negligible
225,189,649.7,977.9,0,45,180,2.02,very low
180,189,775.6,976.3,0,45,225,2.02,negligible
180,189,648.6,976.3,0,45,225,2.02,very low
135,189,773.2,973.3,0,45,270,2.02,very low
135,189,646.6,973.3,0,45,270,2.02,very low
300,160,1137,741,0,0,100,0,moderate
300,160,1246,741,0,0,100,0,moderate
300,160,1356,741,0,0,100,0,moderate
