 Cement(kg/m3), Water(kg/m3),Coarse aggregate(kg/m3),Fine aggregate(kg/m3), FA (kg/m3),SF (kg/m3),GGBFS (kg/m3),SP (kg/m3),Elastic modulus (GPa)
166.0,168.0,820.0,932.0,62.25,0.0,186.75,1.69,38.0
83.0,168.0,820.0,932.0,83.0,0.0,249.0,1.69,40.0
41.5,168.0,820.0,932.0,93.375,0.0,280.125,1.69,39.7
166.0,168.0,820.0,932.0,124.5,0.0,124.5,1.69,40.5
83.0,168.0,820.0,932.0,166.0,0.0,166.0,1.69,41.5
41.5,168.0,820.0,932.0,186.75,0.0,186.75,1.69,40.0
166.0,168.0,820.0,932.0,186.75,0.0,62.25,1.69,38.0
83.0,168.0,820.0,932.0,249.0,0.0,83.0,1.69,38.0
41.5,168.0,820.0,932.0,280.125,0.0,93.375,1.69,40.0
228.0,182.0,1100.0,770.0,0.0,0.0,228.0,0.0,23.7
228.0,182.0,1100.0,770.0,0.0,23.0,228.0,1.82,26.7
228.0,182.0,1100.0,770.0,0.0,46.0,182.0,2.58,29.0
228.0,182.0,1100.0,770.0,0.0,68.0,159.0,2.8,26.8
470.0,175.0,1203.0,647.0,0.0,30.0,0.0,9.78,35.5
450.0,175.0,1203.0,647.0,0.0,50.0,0.0,11.71,37.0
425.0,175.0,1203.0,647.0,0.0,75.0,0.0,13.34,38.1
720.0,231.0,710.0,730.0,0.0,80.0,0.0,33.0,51.3
640.0,252.0,710.0,730.0,0.0,160.0,0.0,33.0,55.0
560.0,273.0,710.0,730.0,0.0,240.0,0.0,33.0,55.9
720.0,197.0,710.0,730.0,80.0,0.0,0.0,34.0,52.1
640.0,185.0,710.0,730.0,160.0,0.0,0.0,32.0,56.2
560.0,172.0,710.0,730.0,240.0,0.0,0.0,30.0,56.4
480.0,220.0,699.0,819.0,96.0,0.0,0.0,10.1,31.0
490.0,186.0,683.0,838.0,98.0,49.0,0.0,11.6,33.0
420.0,165.0,746.0,847.0,180.0,0.0,0.0,13.02,41.6
360.0,165.0,735.0,837.0,240.0,0.0,0.0,19.98,32.0
300.0,165.0,723.0,825.0,300.0,0.0,0.0,20.4,23.5
240.0,165.0,712.0,815.0,360.0,0.0,0.0,22.02,24.0
360.0,165.0,734.0,835.0,180.0,60.0,0.0,22.02,39.0
300.0,165.0,723.0,825.0,240.0,60.0,0.0,21.0,37.0
240.0,165.0,712.0,813.0,300.0,60.0,0.0,19.98,38.9
180.0,165.0,701.0,804.0,360.0,60.0,0.0,18.0,30.0
340.0,153.34,1110.0,680.0,34.0,0.0,0.0,2.04,36.372
400.0,158.4,1055.0,647.0,40.0,0.0,0.0,1.12,31.829
420.0,168.0,1082.0,663.0,0.0,21.0,0.0,4.2,31.759
420.0,151.2,1102.0,675.0,0.0,0.0,42.0,3.36,33.173
440.0,135.52,1107.0,678.0,0.0,44.0,0.0,3.52,42.181
450.0,129.6,1002.0,614.0,0.0,0.0,90.0,3.6,41.963
445.0,144.62,944.0,578.0,0.0,44.5,89.0,7.12,43.11
437.0,204.0,785.0,908.0,51.0,26.0,0.0,10.28,26.9
424.0,204.0,785.0,908.0,51.0,39.0,0.0,10.28,27.0
411.0,204.0,785.0,908.0,51.0,51.0,0.0,10.26,28.13
411.0,204.0,785.0,908.0,77.0,26.0,0.0,10.28,27.16
398.0,204.0,785.0,908.0,77.0,39.0,0.0,10.28,28.0
386.0,204.0,785.0,908.0,77.0,51.0,0.0,10.28,28.8
386.0,204.0,785.0,908.0,103.0,26.0,0.0,10.3,29.5
373.0,204.0,785.0,908.0,103.0,39.0,0.0,10.3,30.9
360.0,204.0,785.0,908.0,103.0,51.0,0.0,10.28,31.1
360.0,204.0,785.0,908.0,129.0,26.0,0.0,10.3,29.0
347.0,204.0,785.0,908.0,129.0,39.0,0.0,10.3,27.0
334.0,204.0,785.0,908.0,129.0,51.0,0.0,10.28,26.6
334.0,204.0,785.0,908.0,154.0,26.0,0.0,10.28,26.0
321.0,204.0,785.0,908.0,154.0,39.0,0.0,10.28,25.9
308.0,204.0,785.0,908.0,154.0,51.0,0.0,10.26,25.8
250.0,125.0,1083.4,722.3,250.0,0.0,0.0,11.0,34.98
250.0,125.0,1093.0,728.7,125.0,0.0,125.0,11.0,33.96
250.0,125.0,1088.2,725.4,100.0,50.0,100.0,11.0,35.69
125.0,125.0,1060.8,707.2,375.0,0.0,0.0,11.0,31.43
125.0,125.0,1075.2,716.8,187.5,0.0,187.5,11.0,32.41
125.0,125.0,1068.0,712.0,150.0,75.0,150.0,11.0,34.03
368.0,161.0,1085.2,693.81,92.0,0.0,0.0,1.104,29.1
322.0,161.0,1085.2,693.81,138.0,0.0,0.0,1.104,27.9
276.0,161.0,1085.2,693.81,184.0,0.0,0.0,1.104,27.0
368.0,161.0,1085.2,693.81,0.0,0.0,92.0,1.104,29.5
322.0,161.0,1085.2,693.81,0.0,0.0,138.0,1.104,28.25
276.0,161.0,1085.2,693.81,0.0,0.0,184.0,1.104,27.75
437.0,176.0,924.0,743.0,80.0,0.0,0.0,4.65,47.0
333.0,173.0,924.0,743.0,162.0,0.0,0.0,3.71,44.0
225.0,170.0,924.0,743.0,247.0,0.0,0.0,3.21,39.0
115.0,167.0,924.0,743.0,336.0,0.0,0.0,2.93,31.0
350.0,140.0,986.0,720.0,100.0,0.0,0.0,10.8,55.7
350.0,153.0,966.0,706.0,100.0,0.0,0.0,9.5,37.0
350.0,167.0,947.0,692.0,100.0,0.0,0.0,8.1,35.0
350.0,180.0,927.0,678.0,100.0,0.0,0.0,6.8,28.5
350.0,140.0,1109.0,720.0,100.0,0.0,0.0,10.8,53.5
350.0,153.0,1087.0,706.0,100.0,0.0,0.0,9.5,45.0
350.0,167.0,1065.0,692.0,100.0,0.0,0.0,8.1,25.0
350.0,180.0,1043.0,678.0,100.0,0.0,0.0,6.8,15.7
350.0,140.0,1002.0,720.0,100.0,0.0,0.0,10.8,38.0
350.0,153.0,982.0,706.0,100.0,0.0,0.0,9.5,30.0
350.0,167.0,963.0,692.0,100.0,0.0,0.0,8.1,23.0
350.0,180.0,943.0,678.0,100.0,0.0,0.0,6.8,15.0
280.0,152.0,1097.0,731.2,120.0,0.0,0.0,0.0,50.67
320.0,152.0,1097.0,731.2,0.0,0.0,80.0,0.0,45.62
240.0,152.0,1097.0,731.2,0.0,0.0,160.0,0.0,51.12
260.0,152.0,1097.0,731.2,80.0,0.0,60.0,0.0,45.77
240.0,152.0,1097.0,731.2,80.0,0.0,80.0,0.0,51.09
248.0,210.12,812.0,853.0,248.0,0.0,0.0,5.0,28.69
248.0,226.24,806.0,853.0,248.0,0.0,0.0,5.0,27.89
248.0,210.12,812.0,853.0,124.0,0.0,124.0,5.0,31.71
248.0,226.24,806.0,853.0,124.0,0.0,124.0,5.0,30.83
124.0,210.12,812.0,853.0,186.0,0.0,186.0,5.0,31.27
124.0,226.24,806.0,853.0,186.0,0.0,186.0,5.0,30.25
124.0,210.12,812.0,853.0,159.0,53.0,159.0,5.0,32.35
124.0,226.24,806.0,853.0,159.0,53.0,159.0,5.0,31.8
271.0,208.36,739.0,819.0,135.5,0.0,135.5,8.13,31.01
135.5,208.36,739.0,819.0,162.6,81.3,162.6,8.13,32.31
138.0,191.4,1107.0,660.0,92.0,46.0,184.0,1.84,31.8
138.0,195.6,1071.0,660.0,92.0,46.0,184.0,1.84,28.5
138.0,200.7,1048.0,660.0,92.0,46.0,184.0,1.84,29.0
138.0,199.4,990.0,660.0,92.0,46.0,184.0,1.84,25.5
138.0,208.2,990.0,660.0,92.0,46.0,184.0,1.84,25.0
138.0,205.3,1007.0,635.0,92.0,46.0,184.0,1.84,22.0
138.0,209.5,1023.0,612.0,92.0,46.0,184.0,1.84,22.5
453.4,201.5,861.5,760.8,50.4,0.0,0.0,2.8,31.76
400.7,200.4,856.5,756.4,100.2,0.0,0.0,2.8,30.67
297.1,198.1,846.9,747.8,198.1,0.0,0.0,2.8,29.8
246.2,197.0,842.1,743.6,246.2,0.0,0.0,2.7,29.38
411.9,274.6,782.7,691.1,45.8,0.0,0.0,0.0,25.23
364.2,273.2,778.6,687.5,91.1,0.0,0.0,0.0,23.86
270.4,270.4,770.5,680.4,180.2,0.0,0.0,0.0,24.45
224.1,269.0,766.6,676.9,224.1,0.0,0.0,0.0,19.99
330.0,173.46,1198.0,798.0,83.0,0.0,0.0,1.45,37.1
289.0,173.46,1185.0,790.0,124.0,0.0,0.0,1.45,36.6
248.0,173.46,1172.0,781.0,165.0,0.0,0.0,1.45,34.4
356.0,186.9,1338.0,653.0,89.0,0.0,0.0,1.11,36.4
312.0,186.9,1322.0,645.0,133.0,0.0,0.0,1.11,35.5
267.0,186.9,1307.0,637.0,178.0,0.0,0.0,1.11,33.75
384.85,151.35,1144.6,706.5,0.0,47.57,0.0,5.19,42.0
371.88,151.35,1152.31,711.22,0.0,0.0,60.54,4.76,40.0
459.0,178.5,915.0,865.0,0.0,51.0,0.0,4.5,31.2
357.0,178.5,915.0,865.0,0.0,0.0,153.0,4.5,29.8
408.0,178.5,915.0,865.0,102.0,0.0,0.0,4.5,29.0
271.0,205.13,787.0,834.0,108.4,54.2,108.4,8.13,38.6
360.0,180.0,868.0,941.0,40.0,0.0,0.0,0.0,25.0
320.0,180.0,865.0,937.0,80.0,0.0,0.0,0.0,24.0
280.0,180.0,852.0,933.0,120.0,0.0,0.0,0.0,23.4
380.0,180.0,869.0,941.0,0.0,20.0,0.0,0.0,28.8
360.0,180.0,865.0,937.0,0.0,40.0,0.0,0.0,30.0
340.0,180.0,863.0,935.0,40.0,20.0,0.0,0.0,28.3
280.0,180.0,861.0,932.0,80.0,20.0,0.0,0.0,27.0
260.0,180.0,858.0,930.0,120.0,20.0,0.0,0.0,26.4
340.0,156.0,1799.0,1346.0,60.0,0.0,0.0,2.4,39.0
300.0,156.0,1779.0,1300.0,100.0,0.0,0.0,2.4,37.0
260.0,156.0,1763.0,1255.0,140.0,0.0,0.0,2.0,36.0
240.0,156.0,1816.0,1386.0,0.0,0.0,160.0,1.6,38.0
200.0,156.0,1812.0,1379.0,0.0,0.0,200.0,2.0,38.0
160.0,156.0,1809.0,1372.0,0.0,0.0,240.0,2.0,38.0
324.0,162.0,1027.0,750.0,81.0,0.0,0.0,0.0,26.3
291.0,155.0,1044.0,762.0,97.0,0.0,0.0,0.0,25.5
368.0,155.0,1057.0,772.0,0.0,19.0,0.0,0.0,30.2
194.0,155.0,1041.0,760.0,97.0,0.0,97.0,0.0,26.8
155.0,155.0,1037.0,757.0,116.0,0.0,116.0,0.0,22.9
194.0,155.0,1054.0,769.0,0.0,0.0,194.0,0.0,24.2
116.0,155.0,1048.0,765.0,0.0,19.0,252.0,0.0,21.7
342.0,155.0,1078.0,667.0,114.0,0.0,0.0,0.0,27.1
433.0,155.0,1094.0,677.0,0.0,23.0,0.0,0.0,33.4
228.0,155.0,1073.0,664.0,114.0,0.0,114.0,0.0,31.0
182.0,155.0,1069.0,661.0,137.0,0.0,137.0,0.0,24.1
228.0,155.0,1090.0,674.0,0.0,0.0,228.0,0.0,25.8
137.0,155.0,1083.0,670.0,0.0,13.0,296.0,0.0,21.7
388.0,155.0,1016.0,628.0,138.0,28.0,0.0,0.0,30.2
526.0,155.0,1041.0,644.0,0.0,28.0,0.0,0.0,35.9
277.0,155.0,1016.0,628.0,111.0,28.0,138.0,0.0,34.6
221.0,155.0,1009.0,624.0,138.0,28.0,166.0,0.0,24.6
277.0,155.0,1031.0,638.0,0.0,28.0,249.0,0.0,30.8
137.0,155.0,1083.0,670.0,0.0,28.0,296.0,0.0,30.7
350.0,190.0,876.0,830.0,150.0,0.0,0.0,9.1,16.0
300.0,200.0,860.0,845.0,200.0,0.0,0.0,9.0,13.0
250.0,210.0,856.0,856.0,250.0,0.0,0.0,8.6,8.5
323.1,158.0,1110.39,796.0,0.0,35.9,0.0,0.0,26.5
305.15,158.0,1110.39,796.0,0.0,53.85,0.0,0.0,28.9
287.2,158.0,1110.39,796.0,0.0,71.8,0.0,0.0,27.0
406.0,189.0,784.4,987.1,0.0,22.0,22.0,1.57,34.78
406.0,189.0,655.7,987.1,0.0,22.0,22.0,1.57,30.13
360.0,189.0,780.2,982.4,0.0,45.0,45.0,1.8,37.4
360.0,189.0,652.7,982.4,0.0,45.0,45.0,1.8,32.28
315.0,189.0,779.2,981.2,0.0,45.0,90.0,1.8,38.27
315.0,189.0,651.7,981.2,0.0,45.0,90.0,1.8,33.2
270.0,189.0,778.0,979.4,0.0,45.0,135.0,1.8,25.36
270.0,189.0,650.7,979.4,0.0,45.0,135.0,1.8,30.84
225.0,189.0,776.8,977.9,0.0,45.0,180.0,2.02,32.16
225.0,189.0,649.7,977.9,0.0,45.0,180.0,2.02,28.75
180.0,189.0,775.6,976.3,0.0,45.0,225.0,2.02,29.71
180.0,189.0,648.6,976.3,0.0,45.0,225.0,2.02,26.63
135.0,189.0,773.2,973.3,0.0,45.0,270.0,2.02,28.73
135.0,189.0,646.6,973.3,0.0,45.0,270.0,2.02,25.8
373.0,170.0,1035.0,697.0,0.0,0.0,42.0,2.9,34.1
290.0,170.0,1035.0,697.0,0.0,0.0,125.0,2.9,33.3
208.0,170.0,1035.0,697.0,0.0,0.0,207.0,2.9,32.0
320.0,160.0,1285.0,500.0,0.0,0.0,137.0,3.84,40.5
274.0,160.0,1285.0,500.0,0.0,0.0,183.0,3.29,41.0
229.0,160.0,1285.0,500.0,0.0,0.0,228.0,2.75,40.0
360.0,203.0,1040.0,482.0,0.0,0.0,90.0,4.95,12.5
270.0,203.0,1040.0,482.0,0.0,0.0,180.0,4.95,9.5
180.0,203.0,1040.0,482.0,0.0,0.0,270.0,4.95,9.4
427.5,112.5,1432.8,445.73,0.0,22.5,0.0,18.0,38.88
405.0,112.5,1427.87,444.19,0.0,45.0,0.0,15.75,41.55
382.5,112.5,1422.93,442.66,0.0,67.5,0.0,15.75,43.03
360.0,112.5,1417.99,441.12,0.0,90.0,0.0,13.5,40.35
337.5,112.5,1413.05,439.59,0.0,112.5,0.0,13.5,35.15
427.5,126.0,1125.0,675.0,0.0,22.5,0.0,14.0,46.08
405.0,126.0,1125.0,675.0,0.0,45.0,0.0,14.0,47.06
382.5,126.0,1125.0,675.0,0.0,67.5,0.0,14.0,48.26
405.0,126.0,1125.0,675.0,45.0,0.0,0.0,14.0,43.74
360.0,126.0,1125.0,675.0,90.0,0.0,0.0,14.0,43.06
315.0,126.0,1125.0,675.0,135.0,0.0,0.0,14.0,42.36
360.0,126.0,1125.0,675.0,0.0,0.0,90.0,14.0,45.04
270.0,126.0,1125.0,675.0,0.0,0.0,180.0,14.0,44.84
180.0,126.0,1125.0,675.0,0.0,0.0,270.0,14.0,43.09
300.0,160.0,1137.0,741.0,0.0,0.0,100.0,0.0,34.5
300.0,160.0,1246.0,741.0,0.0,0.0,100.0,0.0,35.73
300.0,160.0,1356.0,741.0,0.0,0.0,100.0,0.0,36.09
